distance,lat,lon,alt,speed,acc,dir,rsrp,rsrq,sinr,cqi,ta,ci,payload,throughput,rtt,region,hour,weekday
366.39,51.49056582,7.41694394,160.05,0.0,0.0,102.76,-75,-6,29,15,4,29391105,9.0,20.4895,52,campus,10,Monday
366.39,51.49056582,7.41694394,159.83,0.0,0.0,102.76,-75,-6,28,15,4,29391105,0.1,5.12822,38,campus,10,Monday
366.39,51.49056582,7.41694394,159.39,0.0,0.0,102.76,-77,-6,23,11,4,29391105,9.0,38.3387,54,campus,10,Monday
431.17,51.49124584,7.41700754,155.34,11.55,1.74,348.58,-92,-7,11,8,4,29391105,6.0,21.7391,62,campus,10,Monday
548.59,51.49217868,7.4164924,155.17,11.36,1.01,330.74,-92,-7,14,9,4,29391105,6.0,16.3432,54,campus,10,Monday
665.98,51.49320884,7.415924,154.02,11.98,0.92,346.74,-98,-10,12,6,4,29391105,1.0,2.81294,102,campus,10,Monday
786.83,51.49428491,7.41555746,153.78,9.11,-2.33,347.14,-97,-8,13,9,4,29391105,5.0,14.9087,58,campus,10,Monday
885.37,51.49441215,7.41434896,155.26,13.67,1.15,258.46,-95,-10,8,11,4,29391105,10.0,22.1852,59,campus,10,Monday
1004.59,51.49417248,7.41258216,158.45,14.04,0.07,258.46,-89,-9,11,10,3,29391104,5.0,16.7997,29,campus,10,Monday
1130.47,51.49392093,7.41077618,161.63,13.94,-0.8,258.35,-81,-6,17,9,3,29391104,2.0,12.7085,45,campus,10,Monday
1299.34,51.49362302,7.40842102,162.44,14.77,1.49,258.02,-75,-7,23,15,3,29391104,3.0,7.12166,32,campus,10,Monday
1428.6,51.49338142,7.40659224,164.84,13.82,-0.34,257.87,-86,-7,16,15,3,29391106,2.0,6.86106,100,campus,10,Monday
1580.07,51.49311906,7.40459725,166.83,13.92,-0.37,257.98,-90,-7,23,9,3,29391106,6.0,15.9098,38,campus,10,Monday
1728.97,51.49298449,7.40242109,167.64,12.36,-2.01,269.48,-92,-9,23,8,3,29391106,3.0,6.38638,74,campus,10,Monday
1765.68,51.49299869,7.40208758,167.99,0.0,0.0,272.03,-92,-7,27,8,7,26385410,1.0,12.8205,75,campus,10,Monday
1765.68,51.49299869,7.40208758,167.94,0.0,0.0,272.03,-93,-7,25,8,7,26385410,7.0,16.5338,56,campus,10,Monday
1765.68,51.49299869,7.40208758,167.87,0.0,0.0,272.03,-93,-7,14,9,7,26385410,0.1,4.1885,51,campus,10,Monday
1902.29,51.4916205,7.401757099999999,159.49,13.42,0.56,180.41,-87,-6,18,10,7,26385410,2.0,9.29692,56,campus,10,Monday
2054.51,51.49020806,7.40172014,160.56,13.23,-5.31,179.69,-81,-6,11,15,7,26385410,6.0,20.5304,59,campus,10,Monday
2143.13,51.48958427,7.40173911,168.52,0.0,0.0,188.9,-65,-6,25,15,7,26385410,10.0,21.9058,47,campus,10,Monday
2175.42,51.48940733,7.40221683,173.68,9.64,1.85,90.91,-71,-6,38,14,7,26385410,9.0,19.0931,47,campus,10,Monday
2279.86,51.4894016,7.403744099999999,174.02,10.83,-0.58,90.58,-75,-5,38,12,7,26385410,3.0,8.67365,54,campus,10,Monday
